course_id,course_title,subject_area,year,author,total_num_of_pages,language,summary,number_of_hits,format
TL0001,On tap Thiet ke thuat toan,An toan thong tin,2000,Tran Thi Bao,164,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,274,Paperback
TL0002,Quan ly chuoi cung ung pro,He thong thong tin,2000,Nguyen Van Anh,439,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,182,Ebook
TL0003,Thiet ke thuat toan 1,Tri tue nhan tao,2000,Pham Hoang Long,162,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,503,Ebook
TL0004,Thiet ke thuat toan 2,Tri tue nhan tao,2001,Pham Hoang Long,441,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,631,Paperback
TL0005,3 buoc Quan ly chuoi cung ung,Kinh te,2000,Tran Minh Duc,207,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Kinh te,353,Paperback
TL0006,Bai giang He thong phan tan,An toan thong tin,2000,Hoang Van Chi,69,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,297,Paperback
TL0007,Huong dan thiet ke co ban,Cong nghe phan mem,2000,Tran Thi Bao,247,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,474,Paperback
TL0008,Lam chu Python,Cong nghe phan mem,2000,Tran Thi Bao,152,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,451,Paperback
TL0009,Lam chu Thiet ke vi mach,Dien tu,2000,Nguyen Thi Tuyet,448,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,975,Ebook
TL0010,Nhung nguy hiem den tu email,An toan thong tin,2000,Pham Hoang Long,253,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,389,Ebook
TL0011,Thiet ke vi mach co ban,Dien tu,2000,Tran Minh Duc,106,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,718,PDF
TL0012,Marketing ky thuat so co ban,Quan tri kinh doanh,2000,Tran Thi Bao,500,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,942,Paperback
TL0013,Bao mat mang va an ninh cho nguoi dung,An toan thong tin,2000,Pham Hoang Long,247,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,304,Paperback
TL0014,Van hoa doanh nghiep danh cho sinh vien,Quan tri kinh doanh,2000,Tran Thi Bao,283,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,729,Paperback
TL0015,Tai sao nen hoc Python?,Tri tue nhan tao,2000,Pham Hoang Long,50,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,259,Paperback
TL0016,Xu ly du lieu,An toan thong tin,2000,Tran Thi Bao,444,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,679,PDF
TL0017,Hoc cach Quan tri nhan luc,Quan tri kinh doanh,2000,Nguyen Thi Tuyet,433,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,436,Ebook
TL0018,Dien tu vien thong va nhung dieu ban chua biet,Dien tu,2000,Pham Hoang Long,379,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,318,PDF
TL0019,Toi la tho dien,Dien tu,2000,Pham Hoang Long,473,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,370,Ebook
TL0020,Tro thanh ty phu tu ban phan mem,Cong nghe phan mem,2000,Tran Thi Bao,323,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,269,Ebook
TL0021,Python de lam,Cong nghe phan mem,2000,Tran Thi Bao,462,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,458,Ebook
TL0022,Quan tri kinh doanh cho nguoi moi,Quan tri kinh doanh,2000,Nguyen Thi Tuyet,331,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,947,Ebook
TL0023,3 buoc bao mat co ban,An toan thong tin,2000,Pham Hoang Long,184,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh An toan thong tin,499,Paperback
TL0024,Thong tin xung quanh la gi,He thong thong tin,2000,Nguyen Van Anh,326,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,947,PDF
TL0025,Xu ly thong tin muot h?n sunsilk,He thong thong tin,2000,Nguyen Thi Tuyet,384,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh He thong thong tin,685,Ebook
TL0026,Ung dung nay xay dung the nao?,Cong nghe phan mem,2000,Nguyen Van Anh,86,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,125,Paperback
TL0027,Khong phai da cap ma la Marketing,Quan tri kinh doanh,2001,Tran Thi Bao,213,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Quan tri kinh doanh,854,PDF
TL0028,Cach tao ra Agentic AI,Tri tue nhan tao,2000,Bui Van Minh,406,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,316,Paperback
TL0029,Hoc may co ban,Tri tue nhan tao,2000,Le Thi Dao,469,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Tri tue nhan tao,992,PDF
TL0030,Lam chu bo mach,Dien tu,2000,Nguyen Thi Tuyet,255,Tieng Anh,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,101,PDF
TL0031,Thiet ke giao dien UI/UX nang cao,Cong nghe phan mem,2001,Tran Thi Bao,350,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Cong nghe phan mem,816,PDF
TL0033,Ung dung IoT trong cuoc song,Dien tu,2000,Pham Hoang Long,411,Tieng Viet,Tai lieu nay rat huu ich cho sinh vien nganh Dien tu,561,Paperback
